2025-04-21 00:00:00,609858,12.81,1.22,0.0,87.56
2025-04-21 01:00:00,588382,12.56,1.24,0.01,88.34
2025-04-21 02:00:00,575284,12.4,1.31,0.0,89.09
2025-04-21 03:00:00,571137,12.21,1.33,0.0,89.99
2025-04-21 04:00:00,578999,12.03,1.3,0.0,90.77
2025-04-21 05:00:00,599687,11.9,1.28,0.0,91.19
2025-04-21 06:00:00,633850,11.86,1.34,0.0,91.28
2025-04-21 07:00:00,676558,12.83,1.43,0.0,89.09
2025-04-21 08:00:00,706985,14.73,1.62,0.0,81.75
2025-04-21 09:00:00,703297,16.75,1.94,0.0,73.71
2025-04-21 10:00:00,685111,18.52,2.34,0.0,67.58
2025-04-21 11:00:00,662758,19.97,2.63,0.0,63.04
2025-04-21 12:00:00,635888,20.99,2.88,0.0,59.61
2025-04-21 13:00:00,666127,21.81,3.06,0.0,56.76
2025-04-21 14:00:00,689546,22.28,3.12,0.0,54.94
2025-04-21 15:00:00,719678,22.48,3.08,0.0,54.3
2025-04-21 16:00:00,750297,22.26,2.97,0.0,55.08
2025-04-21 17:00:00,777537,21.88,2.73,0.0,56.69
2025-04-21 18:00:00,805190,20.87,2.5,0.0,60.4
2025-04-21 19:00:00,813385,19.02,2.08,0.0,68.32
2025-04-21 20:00:00,790791,17.54,1.76,0.0,74.74
2025-04-21 21:00:00,767117,16.65,1.67,0.0,78.81
2025-04-21 22:00:00,752819,15.99,1.68,0.0,81.8
2025-04-21 23:00:00,725940,15.56,1.62,0.0,83.94
2025-04-22 00:00:00,679993,15.37,1.6,0.01,85.2
2025-04-22 01:00:00,655776,15.31,1.54,0.02,85.94
2025-04-22 02:00:00,643224,15.31,1.44,0.02,86.42
2025-04-22 03:00:00,633733,15.28,1.44,0.13,86.91
2025-04-22 04:00:00,637732,15.27,1.53,0.34,87.89
2025-04-22 05:00:00,654251,15.24,1.58,0.77,89.52
2025-04-22 06:00:00,690592,15.23,1.79,1.52,91.08
2025-04-22 07:00:00,749441,15.26,1.86,2.39,93.0
2025-04-22 08:00:00,804219,15.4,2.0,2.53,94.46
2025-04-22 09:00:00,829065,15.7,2.09,2.8,95.13
2025-04-22 10:00:00,835946,16.0,2.18,2.56,95.37
2025-04-22 11:00:00,823161,16.29,2.26,2.3,95.31
2025-04-22 12:00:00,797844,16.48,2.42,2.39,94.91
2025-04-22 13:00:00,824234,16.5,2.45,2.17,94.82
2025-04-22 14:00:00,828872,16.38,2.23,2.08,95.12
2025-04-22 15:00:00,823324,16.3,2.06,1.78,95.5
2025-04-22 16:00:00,824460,16.36,1.92,1.24,95.15
2025-04-22 17:00:00,815537,16.21,1.87,0.77,94.91
2025-04-22 18:00:00,818490,15.99,1.85,0.47,94.64
2025-04-22 19:00:00,817533,15.6,1.85,0.33,94.82
2025-04-22 20:00:00,794018,15.15,1.84,0.19,95.07
2025-04-22 21:00:00,768323,14.79,2.01,0.14,94.69
2025-04-22 22:00:00,758150,14.46,2.1,0.06,94.17
2025-04-22 23:00:00,734754,14.2,2.27,0.05,93.16
2025-04-23 00:00:00,686802,13.85,2.3,0.02,91.92
2025-04-23 01:00:00,661312,13.4,2.22,0.03,91.37
2025-04-23 02:00:00,648182,12.94,2.15,0.02,91.36
2025-04-23 03:00:00,641837,12.49,2.15,0.02,91.43
2025-04-23 04:00:00,644498,12.05,2.04,0.02,91.56
2025-04-23 05:00:00,658554,11.58,1.9,0.01,92.19
2025-04-23 06:00:00,685909,11.31,1.84,0.0,92.08
2025-04-23 07:00:00,712891,11.95,1.85,0.01,89.24
2025-04-23 08:00:00,731091,13.24,2.03,0.0,82.34
2025-04-23 09:00:00,732974,14.42,2.19,0.0,76.85
2025-04-23 10:00:00,716575,15.41,2.19,0.0,72.9
2025-04-23 11:00:00,684405,16.35,2.17,0.0,69.61
2025-04-23 12:00:00,646411,17.2,2.22,0.0,66.52
2025-04-23 13:00:00,676072,17.96,2.39,0.0,63.72
2025-04-23 14:00:00,700951,18.41,2.57,0.0,62.07
2025-04-23 15:00:00,713771,18.55,2.64,0.0,61.78
2025-04-23 16:00:00,745736,18.44,2.76,0.0,62.06
2025-04-23 17:00:00,765621,17.96,2.7,0.0,63.31
2025-04-23 18:00:00,794360,17.02,2.39,0.0,66.45
2025-04-23 19:00:00,805656,15.29,1.9,0.0,73.34
2025-04-23 20:00:00,791055,13.84,1.67,0.0,79.19
2025-04-23 21:00:00,769192,12.91,1.41,0.0,82.86
2025-04-23 22:00:00,754819,12.14,1.26,0.0,85.87
2025-04-23 23:00:00,730499,11.53,1.26,0.0,87.91
