date,weather_variable,pearson_r,n
2025-04-21,temperature,0.6135505968249555,24
2025-04-21,wind_speed,0.43210812351280925,24
2025-04-21,precipitation,-0.2746158361654031,24
2025-04-21,humidity,-0.5398878459410339,24
2025-04-22,temperature,0.5664840618935801,24
2025-04-22,wind_speed,0.7788770015682418,24
2025-04-22,precipitation,0.5852949696665548,24
2025-04-22,humidity,0.9317461900219697,24
2025-04-23,temperature,0.20514259247314057,24
2025-04-23,wind_speed,-0.17893952758602913,24
2025-04-23,precipitation,-0.6126668653670335,24
2025-04-23,humidity,-0.3639399954966931,24
2025-04-24,temperature,0.10216132159802888,24
2025-04-24,wind_speed,0.49171638857899735,24
2025-04-24,precipitation,,24
2025-04-24,humidity,-0.4907083476095321,24
